rep	epoch	rnntype	chi2	b_surp	z_surp	b_prevsurp	z_prevsurp	avsurp
1	1	SRN	1.481633611383586	-0.002132780316331114	-0.18913814518568406	0.00413942547970022	0.3519631901130757	8.032533720611273
1	1	GRU	4.19163176658185	0.015356292645316206	1.504857948669814	0.014636508227928792	1.3455338905538003	8.133522080931982
1	1	LSTM	14.486601892713225	0.02240040184432479	2.4160546255231012	0.027703280697591495	2.8091445360523775	8.22965939987191
1	2	SRN	21.43576408907029	-0.028490167494811033	-2.0463100708905904	-0.031336720451514206	-2.2433548059211774	7.754539072363169
1	2	GRU	11.182354911426955	-0.024718144832787583	-1.6991389251743843	-0.019984973582011623	-1.3269873517178075	7.754226972219462
1	2	LSTM	9.613277816642949	-0.02634339906533411	-1.8224473380890112	0.004689872175721487	0.311311828883778	7.775675882047919
1	3	SRN	11.39607808636356	-0.01171011136032524	-0.7976597184549552	-0.0265846851059049	-1.8135281792518232	7.488950425395723
1	3	GRU	30.30351457837969	-0.034043329898091036	-2.0348184929397686	-0.07601285915023041	-4.546605727649313	7.596234211569515
1	3	LSTM	29.741229703719	-0.03465385548300147	-1.8916178091374514	-0.08608070450075314	-4.603898152228938	7.646738587503462
1	4	SRN	19.989195052199648	0.008669221622383934	0.7104257164209965	0.011336098646519962	1.0030472527430734	7.039299414509196
1	4	GRU	11.42174368861015	0.00687622487940861	0.5421843570228358	0.005298967070427524	0.4401974192440981	7.088592705760445
1	4	LSTM	10.925085533133824	0.0014582925591081482	0.0984040285182835	-0.01925236166321615	-1.3331756328544642	7.239939051016921
1	5	SRN	57.94487145644598	0.027891296318730687	2.6365456897111152	0.03585804627683247	3.8318495077295602	6.766173729149335
1	5	GRU	51.918013446709665	0.0261839771809769	2.3771351778213545	0.03330720334413208	3.3817971686673896	6.774093608392131
1	5	LSTM	38.08677267173334	0.021498681861498496	1.8385330350543732	0.02685763293230339	2.563845284583506	6.882193663281812
1	6	SRN	68.67709068805561	0.037082129002605366	4.210793500183537	0.04583854669126147	5.560623589641785	6.369108828103508
1	6	GRU	65.86200713964718	0.037068141604991105	4.131676214913437	0.04461995437865832	5.331137890224028	6.309913326014806
1	6	LSTM	61.652912912981265	0.03450196550204741	3.692886629706345	0.043619549057111656	5.068102791532775	6.388783758728969
1	7	SRN	91.56960796470594	0.040381595068124054	4.888263975375273	0.04373175428446737	5.787934451037509	6.075610096666895
1	7	GRU	90.55957629210752	0.04194938208143205	5.381412621865823	0.043530470505178866	5.8735970672087845	5.883923203122693
1	7	LSTM	95.09557287223652	0.04346810653209991	5.351715176426401	0.04670711538331111	6.093565955656703	5.909677699509084
1	8	SRN	86.40245724112901	0.03758111533616718	5.047925021320234	0.041547755930952175	5.879580387439872	5.792602646906446
1	8	GRU	105.68218467463521	0.04138061629082462	5.917001519128315	0.04320544622511669	6.395792890283411	5.520174909279502
1	8	LSTM	111.96710391945817	0.04358506213718539	6.128837498078258	0.04502321999731873	6.617394173019076	5.5483516238221
1	9	SRN	104.63639111273733	0.04533926820238359	6.33076110366832	0.044246996254289225	6.397408379937121	5.6430511603086115
1	9	GRU	115.35581490566983	0.045309462617464505	6.7801262807635405	0.04449452962050019	6.757418453342799	5.405741396029637
1	9	LSTM	126.91733483490316	0.04669910762727773	6.870984880491127	0.04716593469706886	7.178108155197768	5.428380968499304
2	1	SRN	13.878841425885184	-0.017938177329172772	-1.5315499100371108	0.011529942314548186	0.9730488463808306	7.998534074345103
2	1	GRU	6.987221967316145	0.0009600017258325574	0.0869701095603293	0.016827121580321864	1.4643330660579699	8.055594599457102
2	1	LSTM	14.266714456291083	0.014105032520876316	1.4052376685621575	0.027749832277271798	2.670160591624749	8.151327871801973
2	2	SRN	41.826251705344475	-0.016759142034880686	-1.2212388249480997	-0.07269856356426342	-5.3083071196734775	7.823305001067413
2	2	GRU	26.441629405584536	-0.027417189132977502	-1.8690150198573732	-0.06201218812510009	-4.031826375668841	7.8727068093799835
2	2	LSTM	13.014329537527374	-0.027827175564795626	-1.9125964363247052	-0.02609281941074799	-1.6978939624369684	7.89797549781959
2	3	SRN	22.92883473312395	-0.03475846535663607	-2.3192893481665258	-0.033167942868499334	-2.2720252113524038	7.451958625316308
2	3	GRU	41.867432735183684	-0.046883329837796014	-2.720898003462631	-0.08173885929151345	-4.9059769498049	7.562210166803832
2	3	LSTM	50.05425079080305	-0.05289576358911558	-2.8431136761415443	-0.10455195405496814	-5.679919257078257	7.6424712133686885
2	4	SRN	16.83610046794638	0.010528403681982686	0.8513147992018976	0.012402842703864912	1.1147004074597082	7.063760811758475
2	4	GRU	17.95215059669499	0.011823467936360327	0.8873738372351885	-0.0013622739155650474	-0.11361944622213825	7.137148318238646
2	4	LSTM	17.551728591919527	-0.0011507302962829426	-0.07303096708572764	-0.0255352725608654	-1.7904352769820076	7.277747232641049
2	5	SRN	41.08851469348156	0.02607175740381016	2.5242978162179788	0.03467635792598445	3.6709476048158765	6.729903567834539
2	5	GRU	38.54273269247278	0.023075994227736187	2.1208218690511007	0.03276974653050892	3.28586569389834	6.770521038026272
2	5	LSTM	26.095448366584606	0.019222203665071973	1.6579833476837147	0.023506098624505093	2.1899493474212863	6.869338752172875
2	6	SRN	59.578678363850486	0.02825731833031252	3.1259840068333657	0.04058911213742603	4.936303167305306	6.3967077516543425
2	6	GRU	61.75017089023822	0.02835855310016142	3.094599468030908	0.04150633148168472	4.998079957814643	6.370709355655165
2	6	LSTM	50.738018864260084	0.023263203484857137	2.4634669522155037	0.0396568061175615	4.627037648420854	6.469985814045625
