subj_nr	sent_nr	word_pos	item	RTfirstpass	prevfix	reject_data	word	log_freq	nr_char	reject_word
38	211	1	21101	0	true	true	If	-12.2502	2	true
38	211	2	21102	0	false	true	I	-14.2268	1	false
38	211	3	21103	600	false	false	have	-13.3949	4	false
38	211	4	21104	164	true	false	time	-12.1679	4	false
38	211	5	21105	0	true	true	at	-12.8145	2	false
38	211	6	21106	184	false	false	the	-15.2505	3	false
38	211	7	21107	180	true	false	end	-10.7606	3	false
38	211	8	21108	0	true	true	I'll		4	true
38	211	9	21109	516	false	false	fill	-8.5252	4	false
38	211	10	21110	0	true	true	you	-13.8667	3	false
38	211	11	21111	380	false	false	in	-14.0752	2	false
38	211	12	21112	0	true	true	on	-13.3552	2	false
38	211	13	21113	264	false	false	what	-12.7303	4	false
38	211	14	21114	168	true	false	happened.		9	true
38	221	1	22101	0	true	true	Henry	-7.037000000000001	5	true
38	221	2	22102	292	false	false	washed	-6.5862	6	false
38	221	3	22103	0	true	true	his	-11.844	3	false
38	221	4	22104	248	false	false	hands	-9.1519	5	false
38	221	5	22105	0	true	true	and	-14.4566	3	false
38	221	6	22106	0	false	true	sat	-8.3236	3	false
38	221	7	22107	0	false	true	on	-13.3552	2	false
38	221	8	22108	0	false	true	the	-15.2505	3	false
38	221	9	22109	0	false	true	seat	-8.4589	4	false
38	221	10	22110	0	false	true	in	-14.0752	2	false
38	221	11	22111	0	false	true	front	-9.7899	5	false
38	221	12	22112	0	false	true	of	-14.3992	2	false
38	221	13	22113	0	false	true	the	-15.2505	3	false
38	221	14	22114	0	false	true	stove.		6	true
38	226	1	22601	0	false	true	The	-15.2505	3	true
38	226	2	22602	276	false	false	police	-9.8981	6	false
38	226	3	22603	232	true	false	officer	-8.6125	7	false
38	226	4	22604	208	true	false	got	-11.1184	3	false
38	226	5	22605	0	true	true	out	-12.2331	3	false
38	226	6	22606	0	false	true	of	-14.3992	2	false
38	226	7	22607	180	false	false	the	-15.2505	3	false
38	226	8	22608	176	true	false	van	-8.0784	3	false
38	226	9	22609	0	true	true	and	-14.4566	3	false
38	226	10	22610	204	false	false	picked	-8.2915	6	false
38	226	11	22611	0	true	true	up	-12.1638	2	false
38	226	12	22612	184	false	false	the	-15.2505	3	false
38	226	13	22613	144	true	false	two	-11.3457	3	false
38	226	14	22614	156	true	false	cans.		5	true
38	227	1	22701	248	true	false	The	-15.2505	3	true
38	227	2	22702	188	true	false	speaker	-7.8059	7	false
38	227	3	22703	380	true	false	turned	-9.3124	6	false
38	227	4	22704	0	true	true	to	-14.774	2	false
38	227	5	22705	260	false	false	her	-11.5145	3	false
38	227	6	22706	0	true	true	with	-13.2011	4	false
38	227	7	22707	168	false	false	a	-14.4505	1	false
38	227	8	22708	172	true	false	smile	-8.1351	5	false
38	227	9	22709	0	true	true	and	-14.4566	3	false
38	227	10	22710	0	false	true	a	-14.4505	1	false
