rep	epoch	rnntype	chi2	b_surp	z_surp	avsurp
1	1	SRN	3.988449372991454	0.14586637255556065	1.9936117901824562	7.390811750382612
1	1	GRU	5.319083379989024	0.1289097217923209	1.8087008842553143	7.492652770580448
1	1	LSTM	8.867989692866104	0.1264933829789362	1.8550716711656512	7.608127612149989
1	2	SRN	0.12020489902351983	0.03027059084504282	0.34673172205734465	7.137835872381728
1	2	GRU	1.4093017278355546	0.10930954436346627	1.187452059061507	7.129257784159913
1	2	LSTM	1.6244451130914968	0.11675170603392422	1.2749268435967345	7.1399351606155665
1	3	SRN	6.676738428155659	0.2211105371433856	2.5871010742298	6.851692651328318
1	3	GRU	4.8330447948828805	0.23026150727292657	2.2003655382741427	6.9746233852589805
1	3	LSTM	3.646614274359308	0.227688574589437	1.910882630478293	7.0312350138919575
1	4	SRN	2.834744403255172	0.10872341732833606	1.684575886759621	6.400756207660878
1	4	GRU	4.253962825227063	0.142535505573179	2.0641267045834497	6.459518502794065
1	4	LSTM	7.21483479856397	0.223061194027633	2.689712333950863	6.611601629569456
1	5	SRN	0.6829423480085097	-0.03226864315920062	-0.5670723608911081	6.099765750944239
1	5	GRU	0.612170539185172	-0.02876542756211155	-0.4845100461714657	6.1263468829020615
1	5	LSTM	0.34372564192744903	0.021977659194741775	0.35185341826806776	6.237286245434447
1	6	SRN	8.277088783332147	-0.13940453518956633	-2.880937952487272	5.743028817157243
1	6	GRU	8.598855251999339	-0.1449395855140598	-2.9366942099766074	5.6827161708239275
1	6	LSTM	6.17376878586947	-0.12628157248139807	-2.487254002445011	5.759272381606454
1	7	SRN	26.48436542780837	-0.22835559114799814	-5.168220168595375	5.451453703992737
1	7	GRU	29.415610186668346	-0.23555230153095127	-5.431691223575047	5.263602531764225
1	7	LSTM	30.064592414884828	-0.2455276583974896	-5.371578050545763	5.288602331970183
1	8	SRN	27.38923276841524	-0.2152067960095807	-5.257355494101203	5.205355858021499
1	8	GRU	34.183994406310376	-0.22862554304401633	-5.571907436201608	4.945969272313009
1	8	LSTM	38.03890491632046	-0.2436483863782654	-5.8347911528684815	4.972294374551188
1	9	SRN	32.94530754024163	-0.23380405301357404	-5.6097424776537475	5.062471435706954
1	9	GRU	40.38987758694566	-0.24382078481830619	-5.852409045443896	4.836155580182905
1	9	LSTM	39.49561696918681	-0.2415597600999222	-5.813390086206644	4.8523940030592945
2	1	SRN	16.114571332756896	0.29225827790116227	4.025696070031872	7.337241135703823
2	1	GRU	11.766166976420209	0.24340680429890205	3.3313447509609753	7.398438928604812
2	1	LSTM	10.52921519105439	0.19745000322612885	2.8550695265653308	7.519101351731026
2	2	SRN	7.015762891765917	0.2289254665410095	2.6522617918766893	7.222609103112523
2	2	GRU	7.666804818989476	0.2584440126636946	2.77278486435418	7.248087993631486
2	2	LSTM	6.266739708167734	0.23147614526889226	2.5062445909420585	7.26448669497075
2	3	SRN	15.490667072386714	0.33673797644290676	3.946546024715104	6.828474982049729
2	3	GRU	13.059771732252557	0.37958750299984534	3.622156373035806	6.956146929728677
2	3	LSTM	10.226792152185226	0.38161568225698134	3.2035948424958356	7.03985431273992
2	4	SRN	2.1709762128302827	0.09555028896852288	1.47398041244007	6.441354515655665
2	4	GRU	4.45739367371425	0.14807625487922574	2.112910892435961	6.5135621140698925
2	4	LSTM	9.072441592172254	0.2580078316618723	3.0169494634755223	6.655724721381006
2	5	SRN	0.28847007927834056	0.029782842125752804	0.5371444029177305	6.072194202853328
2	5	GRU	0.5661856148508377	0.043641188125544	0.7525372581961386	6.107585396309936
2	5	LSTM	1.0683838403201662	0.0639790683364165	1.033832821077671	6.210665719726692
2	6	SRN	7.950276402087184	-0.13631266134011755	-2.8232753476882633	5.7363801454749686
2	6	GRU	7.162587525177514	-0.13055504074522084	-2.6546179247359123	5.715033846345925
2	6	LSTM	5.6460648531792685	-0.12021485868161753	-2.3784037592169227	5.806053204507832
2	7	SRN	12.323474132776028	-0.15341277380322713	-3.517585979521168	5.460551849654938
2	7	GRU	27.1056299576303	-0.2223626249601435	-5.229414020760552	5.2230536946274055
2	7	LSTM	25.796109407005133	-0.2247849220400019	-5.100634044432994	5.241348465644826
2	8	SRN	28.15738841111306	-0.21192271650555947	-5.33102245354309	5.151104729497648
2	8	GRU	46.11303679714911	-0.2680880898612287	-6.620422036413084	4.901153348109772
2	8	LSTM	33.06159771530656	-0.22915972679753	-5.670566536798324	4.9431093403676485
2	9	SRN	31.103479952027556	-0.22168277607570752	-5.605424040345028	5.036630740174272
2	9	GRU	51.00612039270345	-0.2787358156492229	-6.9342768059899775	4.811117338369753
2	9	LSTM	43.72882881388068	-0.258616519289763	-6.290670178832483	4.831991433833934
3	1	SRN	5.83830342721194	0.1852553953356876	2.418583378546576	7.265454066119235
3	1	GRU	6.506442379206419	0.18835399841489317	2.385201586346673	7.357185867698922
