rep	epoch	rnntype	chi2	b_surp	z_surp	b_prevsurp	z_prevsurp	avsurp
1	1	SRN	1.12163571986207	-0.0017298714485757512	-0.7192178370990241	-0.0016896412794352004	-0.7276283477391898	7.310655252001679
1	1	GRU	3.0148313513773246	-0.0021615642643916405	-0.9678165905896746	-0.0031281098343902886	-1.442914247165568	7.421014531685768
1	1	LSTM	5.259729458183074	-0.0018441534379212412	-0.9069532583014471	-0.0040732272172987055	-2.109469038581021	7.542565377730853
1	2	SRN	1.295072581957129	0.0024450700056320405	0.8221712068968376	0.0010599703793182254	0.3806235541608082	7.041175714337283
1	2	GRU	2.749764891175573	0.004927921874372254	1.5948968110455712	0.0006326000681115089	0.21126734747883436	7.032855524475456
1	2	LSTM	3.3269139011608786	0.005438927204727501	1.7815133355174517	0.0010758812108617984	0.35858011426633385	7.0518534164282904
1	3	SRN	6.903028260270048	0.0034822277925528424	1.181498510462437	0.005727760837848549	2.073084467776299	6.743883963187009
1	3	GRU	1.455987616091079	0.001765968376530463	0.5132806393906144	0.0033979447912248213	1.0571670661838974	6.8716815073009885
1	3	LSTM	0.25095045335524446	0.001497476581445052	0.3856085390533805	0.0011312872378946351	0.310936257760805	6.942443138519316
1	4	SRN	27.940353066675925	0.0058637344135515435	2.4844176478115734	0.008578241736000369	3.950254548899662	6.301995568680274
1	4	GRU	26.161739922288007	0.005550946641495326	2.2663723294038354	0.009488772808325937	4.14008018016544	6.357421785571437
1	4	LSTM	16.97610880296338	0.0035528888493630366	1.2502271394470021	0.009996521478809004	3.7508674328139593	6.50956259139829
1	5	SRN	74.1999374878817	0.008464321800297799	4.075994908980585	0.009564445908031521	4.572056622554519	6.044486716185169
1	5	GRU	82.71577036725535	0.008631407957211859	4.036742975457332	0.011269681574879387	5.178823905570034	6.074379993477924
1	5	LSTM	60.77077186968904	0.007382662430113897	3.312470414293709	0.010914104574543866	4.878599795956825	6.1748973028010194
1	6	SRN	111.24476275787333	0.008854778732861762	4.764274045182509	0.010283167539153181	5.220020993980754	5.726485508895128
1	6	GRU	110.45762769774979	0.008798669985296088	4.625985124814118	0.010792232023920404	5.462031738867333	5.671626319794259
1	6	LSTM	120.60056236759715	0.00982548492280305	5.042473793655854	0.011741877885064674	5.788364826206087	5.74350656762933
1	7	SRN	136.7656359861894	0.007946203541473233	4.524200675410574	0.010340323661014202	5.299546956235164	5.4395299249973075
1	7	GRU	137.35159475653222	0.0069076215110418435	3.9518281191408637	0.010273731415822928	5.2546974625468925	5.2358142983438585
1	7	LSTM	152.40021037446127	0.008092252142030092	4.519201452577663	0.010770099491940074	5.367013853343167	5.274958128193063
1	8	SRN	126.36921433786506	0.006996535841495381	4.152201394130373	0.008140864949167666	4.45341410658153	5.216754289648252
1	8	GRU	159.5672032294683	0.006728356931555862	4.03405902135653	0.009444311087729022	5.037467681169517	4.923934025870375
1	8	LSTM	163.96988589498164	0.007055009285995501	4.1841095172679825	0.00951460753915102	5.036448424331782	4.962987245190153
1	9	SRN	160.05657025381038	0.007271655204169052	4.266858170958876	0.009891355222169631	5.2993942740066196	5.070513736729734
1	9	GRU	171.31974637120516	0.00633312553946672	3.8263491074074025	0.010023395131826126	5.31583237229823	4.8026379622451625
1	9	LSTM	177.19499120746082	0.007250619486224354	4.330412306557021	0.009785430588668395	5.164002240875804	4.827089918475388
2	1	SRN	0.16207021845661984	-0.00044343769451252505	-0.18535985911211345	0.0008297248264893657	0.3527582563733843	7.270794093263783
2	1	GRU	1.9760240273524232	-0.002541411239287397	-1.0870764662288466	-0.0020659816042529907	-0.910632384637954	7.346349478604188
2	1	LSTM	3.7097522493663746	-0.0022669414904890207	-1.0683165486921515	-0.0032615056586101955	-1.614955443623517	7.4749579810858195
2	2	SRN	5.858062864986778	-0.004097735589794204	-1.4321895536551967	0.0054292829895031276	2.023102970476413	7.141336964382434
2	2	GRU	4.148085156133902	-0.001931464084395778	-0.6309240222296723	0.005797224189642093	1.9397235955631864	7.1964192651907934
2	2	LSTM	2.0733845284491963	-0.0013575452234039736	-0.4488411845717403	0.004085875495541835	1.3650035355901706	7.216239638393003
2	3	SRN	14.637277193080308	0.00262333753405774	0.8655671120898053	0.008890465027639833	3.2211435320227486	6.728855117939136
2	3	GRU	4.6257024881304005	0.0008346547052103906	0.23745316456437265	0.0066924279145252775	2.0867725801973456	6.866169996738887
2	3	LSTM	3.466468862906595	-0.00042613266953270415	-0.10809424542175784	0.006183611582955708	1.7123118094218925	6.956959070980848
2	4	SRN	38.02399030227457	0.005466235047173431	2.237027872336138	0.009553864044061855	4.339460057546358	6.360861963839327
2	4	GRU	28.998410388610182	0.005747616131854393	2.223413560918743	0.009527257443425821	4.135978074869255	6.426493369324919
2	4	LSTM	19.197136498008376	0.0048298065722532325	1.580573310261385	0.009256764628132075	3.476159315787443	6.575472142468915
2	5	SRN	73.30767205559846	0.009116263175654633	4.349530438630856	0.009528470371277435	4.596795769212657	5.999207741584931
2	5	GRU	77.25977604889181	0.008681846434262395	4.01314728478364	0.01088199678688967	4.9050173501032805	6.039449240914748
2	5	LSTM	62.156862375808714	0.007555349220703142	3.3355613015773824	0.011375827781889641	4.909569690044808	6.130010403999807
2	6	SRN	129.84863891785358	0.010392197734290544	5.436946774981043	0.010661273795253718	5.488364631969528	5.730049280046382
2	6	GRU	133.10283030909704	0.010108429913094744	5.308117434521845	0.011508989415010457	5.717309847326975	5.693427063299463
2	6	LSTM	131.19015106485926	0.01081212545067714	5.499159952887898	0.011697269039874095	5.740557213100745	5.778031551143383
2	7	SRN	146.20425371316128	0.008490768359196254	4.872695287479822	0.010040668051040563	5.1217333679931185	5.494170203993153
2	7	GRU	170.10791855422735	0.008893757931250041	5.202363590079512	0.010894245232090727	5.520818587883865	5.231820454364237
2	7	LSTM	171.00931231944833	0.009496965019374222	5.376049144657708	0.011159446688326129	5.608138931355866	5.250076941918123
2	8	SRN	151.80219131354602	0.006636263824576479	3.9189685946370605	0.009207053412994185	4.870890927318806	5.160883342874628
2	8	GRU	166.45843655813815	0.006494390906121678	3.9679737865219025	0.009752468810245279	5.0413479306497475	4.910244553063466
2	8	LSTM	171.58410411142518	0.007097742951638351	4.228162113552379	0.010103651006065223	5.255842137623455	4.938314840392987
2	9	SRN	163.43239168757714	0.006372791983067034	3.7861442641948786	0.010079552385221093	5.298396373068227	5.0510508358998765
2	9	GRU	172.55374047166129	0.006893392438561192	4.1606128755800516	0.009323186905748517	4.893604168406689	4.811262715315831
2	9	LSTM	183.28789452268097	0.00713539498904952	4.285554164117444	0.01018579112775031	5.3192916931397365	4.822018022392102
3	1	SRN	3.9440479726863487	-0.004687209667458461	-1.8936943143118328	0.0010244978056737322	0.4257003843232359	7.182049520634763
3	1	GRU	3.5297346816914796	-0.004408895120618478	-1.7818343213529646	-0.0015314348175223054	-0.6418118710299147	7.278195127360184
3	1	LSTM	3.647099994757582	-0.0033045559051541693	-1.392571920911023	-0.002967236161997206	-1.340826221017189	7.395625228450608
3	2	SRN	5.618321608276574	-0.005899029536817255	-1.8692144955310412	0.004763379651252401	1.5961411608525553	7.129604023333777
3	2	GRU	2.250939318464134	-0.004565542840081787	-1.4093522994973364	0.001286055496022135	0.4092861567290913	7.129716313634671
3	2	LSTM	1.5433629280291825	-0.0034949412404597434	-1.0871940316621473	0.00041351454407920153	0.13363588315027522	7.131935131707522
3	3	SRN	10.716888287761549	0.0022252606375504362	0.748536880961024	0.007976142633758664	2.985284557616617	6.814719456502309
3	3	GRU	2.0117387035761567	-0.0023541617533189615	-0.6793242656583248	0.003835467253053305	1.2320305879418227	6.949897985434261
3	3	LSTM	2.97759297588118	-0.006412573809851661	-1.625925649839878	0.0014857723307685807	0.41951426647351286	7.005659316641727
3	4	SRN	34.23657583055706	0.0038707228300141807	1.611293793112157	0.010229705942669991	4.547492801212708	6.352205196565193
3	4	GRU	24.38551661576389	0.003088417586320385	1.2096026243915077	0.009307782888639269	3.8807050967442307	6.40684191238827
3	4	LSTM	16.614100577267436	0.0005842510724933202	0.1930991997007145	0.010010842720715347	3.61895412141032	6.56219375484591
3	5	SRN	97.85063045616675	0.00880949543229627	4.22492960677638	0.01257628277884398	6.0602182671865235	6.016959407949431
3	5	GRU	82.23004822665325	0.008102451628588815	3.8126415878394018	0.011735101744552806	5.501272475242472	6.112264146527243
3	5	LSTM	59.010549461846495	0.006303646422457784	2.8494843148826567	0.011645896698400689	5.308857717441528	6.211241440632538
3	6	SRN	101.41854891034131	0.006684764804699351	3.5662422501663626	0.010684096801286359	5.4672136386983095	5.706317443385677
3	6	GRU	112.01565960759422	0.007172699751819964	3.8160753441341337	0.011704711723441123	5.772318458302612	5.634636491901743
3	6	LSTM	117.77469427347637	0.008445884318162112	4.345709576919405	0.01229482303497621	5.977711230258778	5.711711869995264
3	7	SRN	117.02321758692574	0.005534936232904771	3.23901968744494	0.009853080077010907	5.190986273364775	5.416377163665285
3	7	GRU	143.2870722719597	0.0065941679446986185	3.843860496748457	0.010486086694815395	5.340854617131745	5.2177859567375
3	7	LSTM	142.08591722940196	0.006994338998456441	4.002459916949696	0.01062634434841773	5.3774699201006175	5.245116563643493
3	8	SRN	149.06492972154547	0.00657399812614158	3.895313348432638	0.010397086024264545	5.523987569102392	5.153828241602881
3	8	GRU	174.1643446059054	0.007009665633971516	4.137034388472617	0.010289196688985484	5.386078113033122	4.9089645958186905
3	8	LSTM	176.83189338035186	0.007392150775015713	4.267052433060068	0.010367399618395015	5.377468266482422	4.908461466720007
3	9	SRN	158.89299791831058	0.006002456792933314	3.577087766120807	0.009812245217761969	5.216424576570895	5.064568959744837
3	9	GRU	176.6767927352214	0.0069764541876700436	4.216908840227422	0.009687913129030695	5.163706097820597	4.8395921547882725
3	9	LSTM	177.5197287028418	0.006966744513681278	4.1102959492452795	0.00974629841222007	5.264169536516661	4.840653714264827
4	1	SRN	11.203791022367568	-0.0019718737225574616	-0.7964900661825443	0.0067606922281700736	2.913126040534678	7.236099790572161
4	1	GRU	4.772027615666275	-0.003733613446042929	-1.6082387893895476	0.002388153510182909	1.098214831537349	7.33700565455277
4	1	LSTM	2.364372374943514	-0.0032237093517668227	-1.5373536145489115	-1.985540454777213e-5	-0.009915364424920236	7.47291114533135
4	2	SRN	7.646980951004252	0.000489254683065185	0.1572327323774641	0.006788435666821661	2.414864713672186	7.034672638139196
4	2	GRU	8.842442817455094	-0.0003136559169572497	-0.09905532600730825	0.007682038170169191	2.5767864996938905	7.087374681691805
4	2	LSTM	7.898492747404589	0.0005659669155414867	0.18138113587583965	0.00742092875168478	2.508896621506566	7.12312793144706
4	3	SRN	4.802653971256859	0.0014953473140118642	0.46264303585715894	0.005435002157908046	1.844926124090095	6.656093475125845
4	3	GRU	3.2658550767489487	-0.0025050236570513893	-0.6711761095968763	0.004000963774104752	1.2069150527217565	6.786565049458539
4	3	LSTM	3.8334433828363217	-0.004747010069449711	-1.1267606289808054	0.0027780739860666327	0.7488392750269238	6.891228447407367
4	4	SRN	17.48067796653072	0.004424414305639171	1.7995751733885856	0.007997250573651402	3.524151183467549	6.299125586433993
4	4	GRU	15.540977380451977	0.004340191089433385	1.6753596367509729	0.007759264266245864	3.289645325729996	6.364233206275339
4	4	LSTM	10.908404910047238	0.003915827783842012	1.2929115964811058	0.0073785683615934464	2.7230415508644805	6.514035604188502
4	5	SRN	96.91437240548089	0.009814927069443284	4.773567567167643	0.010597188380436714	5.114301396774792	6.020149561940579
4	5	GRU	93.61599349365747	0.009375526185555002	4.379334851820495	0.012141129248681286	5.551821586421555	6.074353499764906
4	5	LSTM	73.68547270729891	0.008238626815808238	3.7056259579766726	0.012136162231361044	5.36642357736368	6.158894217906552
4	6	SRN	115.81082906793085	0.008460819394229394	4.517819420944987	0.011449641755366705	5.859935055424052	5.6687243349396494
4	6	GRU	120.00451934515945	0.008469990674981238	4.464908776609109	0.011327411191119945	5.720575335385015	5.62856243124774
4	6	LSTM	130.62974057732845	0.009307501070259157	4.748503042270015	0.012170039130287342	5.9579505070558945	5.693093325120616
4	7	SRN	115.81798188646803	0.006192269515257433	3.6842601811814837	0.010741747361245136	5.647762178822258	5.435612075799808
4	7	GRU	152.17362993923803	0.007320070433204508	4.227930004489078	0.011480446903189936	5.951075251249062	5.248201413819192
4	7	LSTM	155.9858356331672	0.007556485978943458	4.3193227387874975	0.012089006424115208	6.141312571098023	5.281875386064816
4	8	SRN	129.42414051287028	0.006083309117399535	3.6225099914300953	0.009144335948615821	4.8471032543194115	5.158338076741754
